artist_id1,artist_id2
1gR0gsQYfi6joyO1dlp76N,2OTfr6S2kuHRYStjt1IkY6
1gR0gsQYfi6joyO1dlp76N,18bof4dt1gOAe3NGWRTamw
1gR0gsQYfi6joyO1dlp76N,0m9husdLSRyNHOuxFAr5hB
1gR0gsQYfi6joyO1dlp76N,4wFEeAYEBgvqt8nB6NGeE3
1gR0gsQYfi6joyO1dlp76N,3VWEVYBAA1xvZsWv0fgs9y
1gR0gsQYfi6joyO1dlp76N,6Sj0xPgL10iWHdNSlAboEE
1gR0gsQYfi6joyO1dlp76N,2ApCtCQQn9Lxh0BNbHFMnl
1gR0gsQYfi6joyO1dlp76N,07Q9n9pbwR6jQ8xH4SA46b
1gR0gsQYfi6joyO1dlp76N,1oCCAVeqc4NXcekKc0xueA
0eNpwvw4gRmgVDjx3uIqfR,0eNpwvw4gRmgVDjx3uIqfR
25uiPmTg16RbhZWAqwLBy5,25uiPmTg16RbhZWAqwLBy5
3nFkdlSjzX9mRTtwJOzDYB,3nFkdlSjzX9mRTtwJOzDYB
3nFkdlSjzX9mRTtwJOzDYB,1ErO0dgxofZnM8hW3FSmY5
3nFkdlSjzX9mRTtwJOzDYB,1xoSqil06jH9aaPJ3NcA9m
3nFkdlSjzX9mRTtwJOzDYB,0Phms1Psbm5lwB5VW1HPlT
3nFkdlSjzX9mRTtwJOzDYB,2EM37ZjV7t1xB0ae2ULc7w
3nFkdlSjzX9mRTtwJOzDYB,2g472PAQUM98gpDGcr7m29
3nFkdlSjzX9mRTtwJOzDYB,41U4Luc3tNfwXrAZaWsCdn
3nFkdlSjzX9mRTtwJOzDYB,3E2Xmu6fX5wh3HW88RaZgF
3nFkdlSjzX9mRTtwJOzDYB,04Y7VT0MqS4wfGBu2uG0XO
3nFkdlSjzX9mRTtwJOzDYB,4bUfy4n78lSz8OueYj75VY
73sIBHcqh3Z3NyqHKZ7FOL,73sIBHcqh3Z3NyqHKZ7FOL
73sIBHcqh3Z3NyqHKZ7FOL,7oPKHxotkwKxVMOx1RWzCm
557CpM84Dx90EAXTDqDj9H,557CpM84Dx90EAXTDqDj9H
54QMjE4toDfiCryzYWCpXX,54QMjE4toDfiCryzYWCpXX
7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z
7bXgB6jMjp9ATFy66eO08Z,396wvM69VtHgLZSfFB0pyH
7bXgB6jMjp9ATFy66eO08Z,5AJVyRgyvgshvWTv8LHEyw
7bXgB6jMjp9ATFy66eO08Z,6v3lXkkpYzp2ULpU2jxAQI
7bXgB6jMjp9ATFy66eO08Z,7vV8QwCaYkmfQE2RjmQ4hZ
7bXgB6jMjp9ATFy66eO08Z,3OoaOhIlsuUlHljz8HvZyJ
7bXgB6jMjp9ATFy66eO08Z,3e87MT8coaNyZdGfvU991u
7bXgB6jMjp9ATFy66eO08Z,1UHcU3lvFXFmWgUeUce8Qa
7bXgB6jMjp9ATFy66eO08Z,2s5ZQ2QaPFyJpJNyytaQLP
7aA592KWirLsnfb5ulGWvU,6pJkhyn8MedLRRl9qZVkWL
1Cs0zKBU1kc0i8ypK3B9ai,2NAEBnghSgcaiKiwWssGBy
6MzxeKydmXufvX7HYPknFW,2GunBeVxhbvviEIdAcTYp2
2AsusXITU8P25dlRNhcAbG,4LNRPI5FBrxxbETdKIrEtE
2BQVRw9md4UKcGUrDXABCD,2BQVRw9md4UKcGUrDXABCD
5gCRApTajqwbnHHPbr2Fpi,6phiZdSV7TcvxLK92m0HeY
3cIXmCH7iNcslTbwrwS7zy,4rR3N07DNXXW2MOFJQCJl1
0DxeaLnv6SyYk2DOqkLO8c,3cuVSUrq0yoSSP7gpvI6q1
6OitufAAfm8LigmwPnBllb,1asZZq3EPWdmgmwlwklXgH
4eZebkMFU3xelF8mbZYXyl,0vxvFFO3tIAQ5ORNXLNUPZ
4wyNyxs74Ux8UIDopNjIai,4wyNyxs74Ux8UIDopNjIai
4YrKBkKSVeqDamzBPWVnSJ,2EgojG8vVsbDQ9XBSQ0fmz
55Aa2cqylxrFIXC767Z865,3hsoULPxzdDbR2T104a7BV
5schNIzWdI9gJ1QRK8SBnc,1HGyE2xN1gWzKaI5gKAn2j
360IAlyVv4PCEVjgyMZrxK,7mWCSSOYqm4E9mB7V4ot6S
6vWDO969PvNqNYHIOW5v0m,15gnGf4KhIWNu1HHYrjpTL
0c173mlxpT3dSFRgMO8XPh,68U9iS19IVwT8bIuQwR1Ew
3YAy9OUnnRsk2JLTaOLcw2,1AC1rHI16vy8mircvQ19aV
4j5KBTO4tk7up54ZirNGvK,4j5KBTO4tk7up54ZirNGvK
41Ue54Vb6iWx2dcdRCM6oH,41Ue54Vb6iWx2dcdRCM6oH
3oUnbJhEXJwswBJoZScors,3oUnbJhEXJwswBJoZScors
0IVapwlnM3dEOiMsHXsghT,0IVapwlnM3dEOiMsHXsghT
7CajNmpbOovFoOoasH2HaY,3MQ6JqviMd8cO0Ag2a2XPV
4iVhFmG8YCCEHANGeUUS9q,4iVhFmG8YCCEHANGeUUS9q
1gR0gsQYfi6joyO1dlp76N,2OTfr6S2kuHRYStjt1IkY6
3Oim8XBPbznAa8Jj8QzNc8,2mhKoxRdmR3JufzG9Z09KJ
3TVXtAsR1Inumwj472S9r4,2y7pPMQioLwMFUKhK9Pyow
3nFkdlSjzX9mRTtwJOzDYB,04Y7VT0MqS4wfGBu2uG0XO
7bXgB6jMjp9ATFy66eO08Z,6v3lXkkpYzp2ULpU2jxAQI
7aA592KWirLsnfb5ulGWvU,5NK8Wf7m2k2OAuCUTU8S2U
6nS5roXSAGhTGr34W6n7Et,4o7OFLbg2KBaBpI9GDMQGA
1Cs0zKBU1kc0i8ypK3B9ai,2NAEBnghSgcaiKiwWssGBy
6MzxeKydmXufvX7HYPknFW,2HOcOGzRipMPATFhdYqwQ6
2BQVRw9md4UKcGUrDXABCD,7so1HCxGkBmfqdvIF5HzkT
0DxeaLnv6SyYk2DOqkLO8c,6PzFRXjgGHQw6K4WeERMK1
4eZebkMFU3xelF8mbZYXyl,0vxvFFO3tIAQ5ORNXLNUPZ
6MzxeKydmXufvX7HYPknFW,7o771UVuxB0MP93YhvHvvt
4YrKBkKSVeqDamzBPWVnSJ,5M7fBl1C6ChFki3MTn0LT7
422RLznpwUa5FsQgnTlgUH,422RLznpwUa5FsQgnTlgUH
4kubsO16bEfCADaVUyoYb6,4kubsO16bEfCADaVUyoYb6
053q0ukIDRgzwTr4vNSwab,053q0ukIDRgzwTr4vNSwab
55Aa2cqylxrFIXC767Z865,2qkgLonkrV3UQ7tIR47VXi
55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865
5gCRApTajqwbnHHPbr2Fpi,6phiZdSV7TcvxLK92m0HeY
6svjZqxAUnDpZc4QVFK22q,6svjZqxAUnDpZc4QVFK22q
5schNIzWdI9gJ1QRK8SBnc,64MD7OgZvbzfTtxfPQLqF1
360IAlyVv4PCEVjgyMZrxK,7mWCSSOYqm4E9mB7V4ot6S
360IAlyVv4PCEVjgyMZrxK,3v8mFhjLFa50QK8zDvAMYN
6vWDO969PvNqNYHIOW5v0m,5zKtGkXaCd2kTyHljTF5QX
5K4W6rqBFWDnAN6FQUkS6x,1FSBOmsZvUb3sjGO0EeFkA
4qBgvVog0wzW75IQ48mU7v,3o6jqTGntV0vVY9Mo9XpZL
3YAy9OUnnRsk2JLTaOLcw2,1AC1rHI16vy8mircvQ19aV
0c173mlxpT3dSFRgMO8XPh,4ewmCSG9lwYL3CZmIX0nB5
4j5KBTO4tk7up54ZirNGvK,6Xsu2q05VX32W1cecBDMDa
4xRYI6VqpkE3UwrDrAZL8L,2B6z1EXe45dL53LoC9LDuP
3Oim8XBPbznAa8Jj8QzNc8,0tp17aYTEiZLlZrf0VEOLb
3TVXtAsR1Inumwj472S9r4,29ijED2bnnprp2TciAK1aO
3TVXtAsR1Inumwj472S9r4,0Jm1S6ygzF2F9XYWJCf6Hu
6ElYQTPVqau3RR3D8Xd2Nl,6JVRYNneRsYNInT4TNr5vU
6nS5roXSAGhTGr34W6n7Et,4o7OFLbg2KBaBpI9GDMQGA
1hzfo8twXdOegF3xireCYs,1hzfo8twXdOegF3xireCYs
52lUXCmpmAIVsgNd1uADOy,52lUXCmpmAIVsgNd1uADOy
7bXgB6jMjp9ATFy66eO08Z,2ulJY9ekaztFQ5it3Ys2kq
7aA592KWirLsnfb5ulGWvU,7aA592KWirLsnfb5ulGWvU
1Cs0zKBU1kc0i8ypK3B9ai,1uNjthXwNFwlPicjDo0tnd
02kJSzxNuaWGqwubyUba0Z,6n6sMzwmYGVhIxpy9adi3Z
04gDigrS5kc9YWfZHwBETP,4rXAZrz9VSb60270ZjMz75
7gjAu1qr5C2grXeQFFOGeh,7gjAu1qr5C2grXeQFFOGeh
5me0Irg2ANcsgc93uaYrpb,5me0Irg2ANcsgc93uaYrpb
6MzxeKydmXufvX7HYPknFW,6qppsSU93bTMm9gPh79i4K
2AsusXITU8P25dlRNhcAbG,2AsusXITU8P25dlRNhcAbG
2BQVRw9md4UKcGUrDXABCD,7so1HCxGkBmfqdvIF5HzkT
5gCRApTajqwbnHHPbr2Fpi,6OACs4DEJRHE0Yewgtd8eK
7lsnwlX6puQ7lcpSEpJbZE,7lsnwlX6puQ7lcpSEpJbZE
3cIXmCH7iNcslTbwrwS7zy,3cIXmCH7iNcslTbwrwS7zy
0DxeaLnv6SyYk2DOqkLO8c,6ejhZKxWJr9apHAzj74DHv
55Aa2cqylxrFIXC767Z865,6Ou8j07wfSNA6vKImIm7MS
5schNIzWdI9gJ1QRK8SBnc,1hfAGNjMLawFcp7xR9jaDM
360IAlyVv4PCEVjgyMZrxK,360IAlyVv4PCEVjgyMZrxK
6vWDO969PvNqNYHIOW5v0m,3mjguRNN96bC8zvaTwHoqE
0c173mlxpT3dSFRgMO8XPh,4ewmCSG9lwYL3CZmIX0nB5
4j5KBTO4tk7up54ZirNGvK,6dE2F3LQJzcD52BK8bRMeb
0IVapwlnM3dEOiMsHXsghT,3sq4nd0itUwsRYeUjrqEyQ
7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY
1gR0gsQYfi6joyO1dlp76N,0m9husdLSRyNHOuxFAr5hB
3Oim8XBPbznAa8Jj8QzNc8,59qJj9MJFLh82wj9k8U6E9
3TVXtAsR1Inumwj472S9r4,3KLA7mvD10XxcjRbo3uTdB
3nFkdlSjzX9mRTtwJOzDYB,0Phms1Psbm5lwB5VW1HPlT
7bXgB6jMjp9ATFy66eO08Z,1UHcU3lvFXFmWgUeUce8Qa
7aA592KWirLsnfb5ulGWvU,6tuXP52Ke0ZX9wOCg5WWvG
6nS5roXSAGhTGr34W6n7Et,1P9Lp7dOF7SJuMGZea5GGf
1Cs0zKBU1kc0i8ypK3B9ai,72k7N13lLevhDx1S5obbTv
6MzxeKydmXufvX7HYPknFW,1csYtMfCM8vv8b7uQ9Dlhj
2BQVRw9md4UKcGUrDXABCD,0aQ8Ow9YAkGxr5bbehjkcS
0DxeaLnv6SyYk2DOqkLO8c,3htNAy3vYWWYV8RZFeyRMT
6MzxeKydmXufvX7HYPknFW,5zATwJgFNdxKRj3xxLtdAx
4YrKBkKSVeqDamzBPWVnSJ,4fz6RrSGg4Hdi1YBDM6kj7
053q0ukIDRgzwTr4vNSwab,3NkEUEwXXgy5IQixHpsHQ9
55Aa2cqylxrFIXC767Z865,6y4LsOLtxSHMssB50dJ27N
55Aa2cqylxrFIXC767Z865,6Ou8j07wfSNA6vKImIm7MS
2TBPRVLhhMpMPwXL1MXMmv,2TBPRVLhhMpMPwXL1MXMmv
2TBPRVLhhMpMPwXL1MXMmv,2zFIACBhoGoailbficgUcl
5gCRApTajqwbnHHPbr2Fpi,5gCRApTajqwbnHHPbr2Fpi
360IAlyVv4PCEVjgyMZrxK,3t9TbuyBScRR9dOG4Yo7CG
360IAlyVv4PCEVjgyMZrxK,7fmQXLCgx5q0vkGArvS6mm
6vWDO969PvNqNYHIOW5v0m,15gnGf4KhIWNu1HHYrjpTL
5K4W6rqBFWDnAN6FQUkS6x,5IbkSI5jXbcHgmOCQeL1Tj
4qBgvVog0wzW75IQ48mU7v,5uZZpd0gd1c36OcQBGxgGC
3YAy9OUnnRsk2JLTaOLcw2,02TxmQAakczlT1nmMyJULq
0c173mlxpT3dSFRgMO8XPh,0c173mlxpT3dSFRgMO8XPh
4j5KBTO4tk7up54ZirNGvK,05ZNSrbT6wIPv0l4jnm2OA
41Ue54Vb6iWx2dcdRCM6oH,41Ue54Vb6iWx2dcdRCM6oH
4xRYI6VqpkE3UwrDrAZL8L,6rpTmAVssi39dK1wX5ncZT
3Oim8XBPbznAa8Jj8QzNc8,1NIzfUIxmREmkdEeyoIZZs
3TVXtAsR1Inumwj472S9r4,6mHYnQ5E6ATfZ1a3nFGYrA
3TVXtAsR1Inumwj472S9r4,3KLA7mvD10XxcjRbo3uTdB
6ElYQTPVqau3RR3D8Xd2Nl,1dPl8axUL09mso0myZqPZW
6nS5roXSAGhTGr34W6n7Et,2KbrgK3FASf57HBdColMfv
52lUXCmpmAIVsgNd1uADOy,1JId3C5RsBiSpQA1bglNpk
7aA592KWirLsnfb5ulGWvU,7gJQnsPcjwSfW6RC0Dii1R
1hzfo8twXdOegF3xireCYs,1hzfo8twXdOegF3xireCYs
1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai
6MzxeKydmXufvX7HYPknFW,1pTg13rrWmPZI5s1GWV528
2AsusXITU8P25dlRNhcAbG,3WMRHQbqvuekasaokZD3PI
2BQVRw9md4UKcGUrDXABCD,3oCIYpmkFw8KGWwMNPKgXh
5gCRApTajqwbnHHPbr2Fpi,2C0UKCaXmaU3VxmRYTk15N
0DxeaLnv6SyYk2DOqkLO8c,4e0Z9S1BolFuwPDnA8wOjF
55Aa2cqylxrFIXC767Z865,5twamSmqfOH9DiUkYKLw7t
360IAlyVv4PCEVjgyMZrxK,02Nbktg6lCJiazPM6YYTMz
4b99uGDv75xD1n2QHuPRDN,4b99uGDv75xD1n2QHuPRDN
6vWDO969PvNqNYHIOW5v0m,6Ox0TEvz2VGDhEPvODDBBv
0c173mlxpT3dSFRgMO8XPh,4nfZHg240tqYcQVO7X9XMN
4j5KBTO4tk7up54ZirNGvK,5V3Rr7eKk4Wa0QldBHda2M
1gR0gsQYfi6joyO1dlp76N,1oCCAVeqc4NXcekKc0xueA
3TVXtAsR1Inumwj472S9r4,5wzXzlWJdkALT4P8pywiau
3nFkdlSjzX9mRTtwJOzDYB,3nFkdlSjzX9mRTtwJOzDYB
7bXgB6jMjp9ATFy66eO08Z,2ulJY9ekaztFQ5it3Ys2kq
7aA592KWirLsnfb5ulGWvU,2a8jydoiqAY1LUApfoQOAC
6nS5roXSAGhTGr34W6n7Et,2KbrgK3FASf57HBdColMfv
1Cs0zKBU1kc0i8ypK3B9ai,759wL1SXzQj1fVSxIjCmqP
6MzxeKydmXufvX7HYPknFW,2GunBeVxhbvviEIdAcTYp2
2BQVRw9md4UKcGUrDXABCD,2BQVRw9md4UKcGUrDXABCD
0DxeaLnv6SyYk2DOqkLO8c,7tLLSEaHMMJPbsYAz8MkEw
0nJaMZM8paoA5HEUTUXPqi,0nJaMZM8paoA5HEUTUXPqi
4eZebkMFU3xelF8mbZYXyl,4eZebkMFU3xelF8mbZYXyl
6MzxeKydmXufvX7HYPknFW,7b0pvMSrnBWY6s6DA00YMK
0YrtvWJMgSdVrk3SfNjTbx,5sOSXs3f55pUbMofUKiqNG
4wyNyxs74Ux8UIDopNjIai,4wyNyxs74Ux8UIDopNjIai
4YrKBkKSVeqDamzBPWVnSJ,2EgojG8vVsbDQ9XBSQ0fmz
053q0ukIDRgzwTr4vNSwab,4VPajxKM9qYa0lhluirq68
55Aa2cqylxrFIXC767Z865,3TIxSFN5hGJ1CGGwMtQGcQ
55Aa2cqylxrFIXC767Z865,3TIxSFN5hGJ1CGGwMtQGcQ
5gCRApTajqwbnHHPbr2Fpi,14OzksrqGZmer3s45ykcH1
5schNIzWdI9gJ1QRK8SBnc,1HGyE2xN1gWzKaI5gKAn2j
51xJF4OqJPHWop1fv0VVyd,51xJF4OqJPHWop1fv0VVyd
360IAlyVv4PCEVjgyMZrxK,2nszmSgqreHSdJA3zWPyrW
360IAlyVv4PCEVjgyMZrxK,0tJDMMp9vT1q6zrPih0yFQ
6vWDO969PvNqNYHIOW5v0m,28zkbG1FOcvawYeqA8zRm0
5K4W6rqBFWDnAN6FQUkS6x,0JI5J5OgHKVgtKfPoZuOmT
4qBgvVog0wzW75IQ48mU7v,5cGPpMXUWCCYhxhdXpfEbx
0c173mlxpT3dSFRgMO8XPh,2iAJ4MOUxcZ8ubi3Pix9oa
4j5KBTO4tk7up54ZirNGvK,5V3Rr7eKk4Wa0QldBHda2M
4xRYI6VqpkE3UwrDrAZL8L,75GlHUh2Mr5IthCCRptIQV
3Oim8XBPbznAa8Jj8QzNc8,1bVKMlAp1qWAL9f478e0SV
3TVXtAsR1Inumwj472S9r4,3KLA7mvD10XxcjRbo3uTdB
3TVXtAsR1Inumwj472S9r4,03ilIKH0i08IxmjKcn63ne
60d24wfXkVzDSfLS6hyCjZ,51HILL1Vqm2NNFzjfYZc6I
6XwwFnewNgWp81MYMK8zLq,6XwwFnewNgWp81MYMK8zLq
6ElYQTPVqau3RR3D8Xd2Nl,0bz9hDpUbAw5JElgEiuIYZ
7aA592KWirLsnfb5ulGWvU,6tuXP52Ke0ZX9wOCg5WWvG
1Cs0zKBU1kc0i8ypK3B9ai,2Ynfdcafn0FLKRt90xUVT3
02kJSzxNuaWGqwubyUba0Z,1nOjSW8STHBhnn7zQ5j2jL
04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP
6MzxeKydmXufvX7HYPknFW,33sZMPFX9MO5kcTZYgAifO
2BQVRw9md4UKcGUrDXABCD,5rwUYLyUq8gBsVaOUcUxpE
5gCRApTajqwbnHHPbr2Fpi,14OzksrqGZmer3s45ykcH1
0DxeaLnv6SyYk2DOqkLO8c,7eaa5bidliPI0djFYv166f
6OitufAAfm8LigmwPnBllb,2qAmAdJg4VpRPIktIVaKTH
7gjAu1qr5C2grXeQFFOGeh,7gjAu1qr5C2grXeQFFOGeh
4eZebkMFU3xelF8mbZYXyl,4eZebkMFU3xelF8mbZYXyl
4wyNyxs74Ux8UIDopNjIai,15W0SVDsZyeeWA6SRQVfH6
4YrKBkKSVeqDamzBPWVnSJ,4YrKBkKSVeqDamzBPWVnSJ
55Aa2cqylxrFIXC767Z865,65npPa1U4cgobX9wU7Jgpb
5schNIzWdI9gJ1QRK8SBnc,2TwuzlpinEjsvByPtyE7C2
360IAlyVv4PCEVjgyMZrxK,2nszmSgqreHSdJA3zWPyrW
6vWDO969PvNqNYHIOW5v0m,7vbtWyaqcB8RlHqqIKlHCU
0c173mlxpT3dSFRgMO8XPh,4qWVwcEnrQYrTMWRP0aho0
3YAy9OUnnRsk2JLTaOLcw2,4rXF0YZ1hN06aXKcYqSgJa
