id,vid,name,artist,genre,tags,created_at,updated_at,staff,likes,director,spotify_id,spotify_pop
576,foE1mO2yM04,I TOOK A PILL IN IBIZA (SEEB REMIX),Mike Posner,", electronic, pop,   ,",,2016-03-16 05:18:35,2016-03-16 05:18:35.506832,0,1,,7HzCxalzzYQOFb9a7Xs3j6,0
249,nAQVGx1vzrk,Fuckin' Problems,A$AP Rocky,", hip hop, cloud rap,",,2015-12-25 00:00:00,,0,0,,0,0
145,5v6JUzxWoGw,Multiply,A$AP Rocky,", hip hop, cloud rap,",,2015-12-25 00:00:00,,0,0,,21tQ61tNj6qbXbDwmSIPt9,0
248,2reEeG2Ho_g,G.O.O.D. Morning,2 Chainz,", hip hop,",,2015-12-25 00:00:00,,0,0,,51oVwsllGkGySCLW6inIXE,0
199,58RSC7HO9aU,Easy Rider,Action Bronson,", hip hop,",,2015-12-25 00:00:00,,0,0,,4AH8GJVosfrbfhe5NVTAnx,0
52,86vDxRr2ELA,Teenage Crimes,Adrian Lux,", techno, house,",,2015-12-25 00:00:00,,0,0,,1E2tRwT1GIHk1a8oYQMfjC,0
51,ksocjhxX_DQ,No Beef,AfroJack and Steve Aoki,", electro house,",,2015-12-25 00:00:00,,0,0,,0,0
70,aNYjOVo5IEw,Something Good,Alt-J,", indie rock, indie pop, art rock, folktronica,",,2015-12-25 00:00:00,,0,0,,3xqxETvPg43KWP0HOGiOmu,0
10,dCCXq9QB-dQ,Hunger of the Pine,Alt-J,", indie rock, indie pop, art rock, folktronica,",arrows/forest/running,2015-12-25 00:00:00,,0,0,,2mkv1b3dRFyiJ4Ybq31owf,0
102,#NAME?,Every Other Freckle,Alt-J,", indie rock, indie pop, art rock, folktronica,",,2015-12-25 00:00:00,,0,0,,6BVBkKpZK09NmifUMZqj1z,0
101,rVeMiVU77wo,Breezeblocks,Alt-J,", indie rock, indie pop, art rock, folktronica,",,2015-12-25 00:00:00,,0,0,,3n69hLUdIsSa1WlRmjMZlW,0
359,npvNPORFXpc,Fitzpleasure,Alt-J,", indie rock, indie pop, art rock, folktronica,",,2015-12-25 00:00:00,,0,0,,7DdXf9x75iEVCHWfoRwRuR,0
230,VfCSx5641U4,"Your Drums, Your Love",AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,2015-12-25 00:00:00,,0,0,,7IdTIjPXUc7bJQyabnmQiT,0
231,Vhh-XF01Ats,Best Be Believing,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,2015-12-25 00:00:00,,0,0,,1hcjoDBAhytssvgrY0gJuN,0
232,iDAScB0kacU,Just A Touch,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,2015-12-25 00:00:00,,0,0,,6DKkFKlKS8lIOFvVacOfhc,0
233,cmXZuv5BaHg,You Know You Like It,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,2015-12-25 00:00:00,,0,0,,57kR5SniQIbsbVoIjjOUDa,0
210,qYqjOcsXjMI,M.O.P.E.,Ambassadeurs,", electronic, chill,",,2015-12-25 00:00:00,,0,0,,4R3Cp4YmYqJEw3URx8eu5P,0
38,93HWMspjxqI,One in a Million,Andrew Rayel,", trance, big room trance,",,2015-12-25 00:00:00,,0,0,,0TNeJWS27u6zKUFJ4HBHGH,0
