id,artist,spotify_id,thumbnail
315,tUnE-yArDs,,
316,Twenty One Pilots,,
317,Two Door Cinema Club,,
318,Tycho,,
319,Tyga,,
320,Tyler The Creator,,
321,ursa major,,
322,Valentino Khan,,
323,Vic Mensa,,
324,Vince Staples,,
325,Vulfpeck,,
326,Wale,,
327,Washed Out,,
328,Weezer,,
329,Wes Walker & Dyl,,
330,Will Smith,,
331,Woodkid,,
332,XXYYXX,,
333,Yeah Yeah Yeahs,,
334,Years ,,
335,Years and Years,,
336,Yeasayer,,
337,Yo Gotti,,
338,YONAS,,
339,Young Dreams,,
340,Young Wonder,,
341,Zedd,,
342,ZHU,,
343,The Flaming Lips,,
