id,name,spotify_id,thumbnail
167,Rae Sremmurd feat. Nicki Minaj and Young Thug,,fwrY0D2ACNk
12,Anna Lunoe ,7d96RW5Vix23AiCHr3mf3D,KxJdMhfn9g4
13,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,NuSbELCNloc
16,AronChupa,5vCOdeiQt9LyzdI87kt5Sh,Bznxx12Ptl0
18,ASAP Rocky,13ubrt8QOOCPljQ2FL1Kca,r6I2Ek_j_Xc
2,Mac Miller,4LLpKhyESsyAXpc4laK94U,LR3GQfryp9M
9,Will Smith,41qil2VaGbD194gaEcmmyx,IwBS6QGsH_4
23,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp,W4J6bFDvvwY
187,Shlomo feat. Jeremih,,
215,Theophilus London,4EMtGVFvfCSrEmWaGV0roE,2WRuDAasz-8
218,Vic Mensa,27w1NoOLMX7tJMYqcetPyG,gbcyfRztHmw
328,Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,fyG9La0PAsM
224,Young Wonder,2KJf05insFdCPlIlnYCrfn,iTkuJenFdPU
228,Flume,6nxWCVXbOlEVRexSbLsTer,IfLqsNRkBIo
329,Florrie,2fkmfYw1KeOiDLA6MHDwU8,S9lkxJFLZ5w
241,Silento,7juKTDFlPesGeWQ1GmjmOv,vjW8wmF5VWc
209,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,zvCBSSwgtg4
171,Rihanna feat. Jay-Z,,CvBfHwUxHIk
254,Miami Horror,0Z5pcmXDCKTrFWLnDChC37,jna2r56EXTg
258,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,i4ooH8frBWg
285,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,_zR6ROjoOX0
249,Tei Shi,1xcMOgFUM1IYZE22YjCvsL,zZ7PVig8qyA
278,Ground Up,0p1CrPBclXVis7VD4gtFri,0UjAf6ubC5M
290,Luke Million,1khu4DLsGK5MWLbUlfKkgz,qJdMjRHRLfg
192,Slow Magic,3htNAy3vYWWYV8RZFeyRMT,fT50k14Rc9A
314,Kirk Knight,,JJGgdIB_m4c
300,Washed Out,5juOkIIy18sFw9L30syt1Z,HEBb3GxubAc
274,Flux Pavilion,,RRNqRuyFSXk
185,SchoolBoy Q ft. Kendrick Lamar,,_L2vJEb6lVE
177,Royal Blood,2S5hlvw4CMtMGswFtfdK15,
250,Mura Masa,,fyv5CBCnx6Q
261,20syl,,65oZD-7gJYE
266,Dada Life,,KJRaKhURMEA
270,Eric Prydz,,ioq_t_GHBtg
