pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_week,vid,song_id,updated_at,pop_trending
6251387,6152553,6068547,5919386,5855793,5720554,5649472,601915,-KPnyf8vwXI,,2016-05-29 00:01:06,1065
1938749435,1937576999,1935391811,1933201840,1932083367,1929632948,1927268218,11481217,e-ORhEE9VVg,,2017-01-29 00:01:02,60
638189,638095,637904,637665,637565,637290,636911,1278,o_qFaFl7JVc,,2017-01-29 00:01:02,20
25180701,25172732,25159439,25148320,25141298,25127202,25113520,67181,79YDgv_zWA4,,2017-01-29 00:01:02,27
28697579,28688508,28673754,28661847,28655763,28637827,28623860,73719,qYx7YG0RsFY,,2017-01-29 00:01:02,26
28726926,28707758,28671028,28637147,28620202,28582602,28543831,183095,JtH68PJIQLE,,2017-01-29 00:01:02,64
16458513,16443086,16410508,16381473,16366988,16333891,16298297,160216,N9XKLqGqwLA,,2017-01-29 00:01:02,98
272932,272784,272516,272271,272120,271821,271609,1323,30RLLTGrgxU,,2017-01-29 00:01:02,49
10854879,10843813,10832926,10808536,10797716,10777767,10767001,87878,lYO77zNhWl4,,2016-05-29 00:01:06,82
469545,469479,469333,469191,469130,468960,468832,713,0GSLAZg3n8I,,2017-01-29 00:01:02,15
450161,450042,449826,449622,449528,449211,448811,1350,vlvKLNghq6Y,,2017-01-29 00:01:02,30
688413,685997,681458,677457,675529,670622,665889,22524,y_Ka5wiQBEw,,2017-01-29 00:01:02,338
12997366,12984459,12961020,12937605,12925487,12900295,12874086,123280,FCbWLSZrZfw,,2017-01-29 00:01:02,96
105424998,105376441,105287177,105210829,105170117,105056523,104966344,458654,Xyv4Bjja8yc,,2017-01-29 00:01:02,44
1540,1536,1520,1510,1506,1495,1490,50,Mw6-1zGM4wM,,2017-01-29 00:01:02,336
34478870,34417768,34292091,34178184,34119248,33992880,33866843,612027,UI9WCl4Cd8E,,2017-01-29 00:01:02,181
166186,165939,165406,164898,164677,164166,163592,2594,gR3RC86JSkk,,2017-01-29 00:01:02,159
88199061,87290008,85814707,84467730,83776170,81891999,80385162,7813899,3j8ecF8Wt4E,,2017-01-29 00:01:02,972
6130806,6126203,6117839,6109920,6105576,6096594,6087836,42970,i4ooH8frBWg,,2017-01-29 00:01:02,71
85513305,85440399,85308006,85191420,85130692,84991542,84864020,649285,O1OTWCd40bc,,2017-01-29 00:01:02,77
18400990,18396293,18387167,18378173,18373993,18365061,18355924,45066,elyk9MBY72U,,2017-01-29 00:01:02,25
1114870596,1113601379,1111536746,1109451236,1108370077,1105710309,1103238611,11631985,uxpDa-c-4Mc,,2017-01-29 00:01:02,105
339570,339386,339027,338666,338508,338149,337768,1802,sfy0_vhfb-s,,2017-01-29 00:01:02,53
21436499,21410474,21372289,21334857,21313583,21263976,21224203,212296,NSdcG1e9APE,,2017-01-29 00:01:02,100
752844,750144,745785,741559,739465,734307,729060,23784,nUv3vM7iMTo,,2017-01-29 00:01:02,326
10448505,10430683,10403241,10377316,10364422,10331240,10302013,146492,BjLBB-TMa84,,2017-01-29 00:01:02,142
951773,951473,950898,950411,950182,949648,948999,2774,RYpqE0_VpWA,,2017-01-29 00:01:02,29
683904997,683455706,682721115,682011749,681651397,680702940,679938105,3966892,jGflUbPQfW8,,2017-01-29 00:01:02,58
15710588,15708325,15704045,15700228,15698298,15693697,15689422,21166,ru-LgSvOCrE,,2017-01-29 00:01:02,13
626251,626222,626153,626093,626045,625968,625904,347,3L_yR_gHGo8,,2017-01-29 00:01:02,6
29310827,29294452,29266159,29239874,29227127,29197339,29170101,140726,9PnOG67flRA,,2017-01-29 00:01:02,48
23714122,23705729,23689930,23674960,23666037,23650709,23636926,77196,Orq_75kFi8I,,2017-01-29 00:01:02,33
43442626,43358310,43193497,43045567,42966152,42774199,42599056,843570,LlU4FuIJT2k,,2017-01-29 00:01:02,198
27074825,27070397,27063823,27057748,27054785,27047181,27040034,34791,U0eS3zC3Jco,,2017-01-29 00:01:02,13
10370476,10363525,10350431,10339290,10333706,10321146,10307472,63004,x8ccDb6n5Wg,,2017-01-29 00:01:02,61
45783647,45686303,45490150,45312810,45212980,45023511,44804828,978819,H8tLS_NOWLs,,2017-01-29 00:01:02,218
1724735244,1722307407,1717976853,1713848943,1711794543,1706684746,1702014711,22720533,09R8_2nJtjg,,2017-01-29 00:01:02,133
7835992,7796450,7719911,7643183,7603888,7523546,7439946,396046,nppKPgdc_u0,,2017-01-29 00:01:02,532
2689089,2684564,2677306,2669345,2665407,2658120,2649983,39106,Ur17pfjIRVo,,2017-01-29 00:01:02,148
36503134,36494087,36475918,36458713,36450143,36430314,36411085,92049,WibQR0tQ0P8,,2017-01-29 00:01:02,25
25106179,25106179,25106179,25106179,25106179,25106179,25106179,0,WfMlFxrMb18,,2016-12-15 00:00:55,0
2713990,2710874,2705140,2700058,2697261,2691469,2685643,28347,Mqbw7CUVWhM,,2017-01-29 00:01:02,106
34452517,34433836,34401393,34369159,34354802,34318954,34283896,168621,sZTpLvsYYHw,,2017-01-29 00:01:02,49
41032252,40998207,40926993,40861357,40827347,40748622,40676252,356000,CJinWua98NA,,2017-01-29 00:01:02,88
1961613,1958043,1949717,1942222,1938652,1930249,1921562,40051,62ST_xsaZUI,,2017-01-29 00:01:02,208
15803460,15769630,15706752,15651818,15621985,15555928,15490857,312603,5_ARibfCMhw,,2017-01-29 00:01:02,202
291391,291214,290803,290383,290164,289629,289025,2366,N385ebYi3Sw,,2017-01-29 00:01:02,82
48565752,48537118,48477152,48422213,48396165,48325496,48262170,303582,2iFa5We6zqw,,2017-01-29 00:01:02,63
6992172,6990600,6987167,6983793,6982264,6978719,6975710,16462,jna2r56EXTg,,2017-01-29 00:01:02,24
3031101,3030320,3028889,3027512,3026885,3025208,3023585,7516,TIW1m3jbEsg,,2017-01-29 00:01:02,25
232281986,231984029,231416524,230904289,230634653,230022117,229429804,2852182,waU75jdUnYw,,2017-01-29 00:01:02,124
1799257,1798493,1797088,1795920,1795273,1793922,1792431,6826,37RYC5aZlRo,,2017-01-29 00:01:02,38
8823076,8812400,8795071,8779697,8771884,8750719,8731559,91517,58RSC7HO9aU,,2017-01-29 00:01:02,105
1980800,0,0,0,0,0,0,1980800,tllWt1tibbQ,,2016-05-02 00:00:26,1
8387535,8384150,8377758,8371108,8368152,8361828,8355071,32464,pq-yP7mb8UE,,2017-01-29 00:01:02,39
1531617,1530927,1529538,1528419,1527794,1526316,1524867,6750,1Rv6KCBI3vg,,2017-01-29 00:01:02,44
23938359,23906096,23853944,23811775,23791630,23732476,23681781,256578,9iCd6UHR-3I,,2017-01-29 00:01:02,108
43463846,43413626,43321358,43233768,43190780,43114964,43027330,436516,j1ngEIxopUU,,2017-01-29 00:01:02,101
51290,51236,51110,51006,50968,50841,50718,572,v__NaQ8xMLc,,2017-01-29 00:01:02,113
25979701,25963559,25929168,25893300,25876338,25844493,25809011,170690,6CHs4x2uqcQ,,2017-01-29 00:01:02,66
1428870,1428428,1427818,1427234,1426981,1426364,1425754,3116,_x6DmYxnBaI,,2017-01-29 00:01:02,22
187480192,187371362,187192679,187022228,186937747,186711701,186509183,971009,etfIdtm-OC8,,2017-01-29 00:01:02,52
49609,49233,48568,47998,47546,46703,45412,4197,2y84jB2_DpA,,2017-01-29 00:01:02,924
82650,82629,82585,82553,82541,82513,82474,176,hv1514WChRw,,2017-01-29 00:01:02,21
