song_id,genre_1_id,genre_2_id
541,102,222
541,102,222
542,102,222
548,101,208
550,101,208
551,101,208
552,101,208
553,101,214
554,101,208
558,102,222
559,101,214
562,104,238
563,101,214
564,101,214
566,101,213
567,107,252
570,104,234
571,101,214
572,104,232
573,102,222
576,104,238
577,101,207
578,104,238
579,104,238
580,102,222
580,104,238
582,102,221
583,101,214
583,102,222
584,101,214
585,101,214
310,103,229
354,103,229
586,102,222
587,102,222
588,104,237
589,105,241
590,100,201
591,102,222
593,102,222
594,103,229
595,101,214
596,101,211
597,103,223
598,101,211
52,103,223
599,103,223
252,102,222
600,100,204
601,102,222
602,102,222
611,101,214
612,103,229
614,103,229
621,100,201
624,101,214
626,102,222
630,101,214
541,100,202
548,103,229
550,101,214
551,100,204
552,101,214
553,101,208
554,101,214
566,104,232
567,104,238
571,104,234
572,101,213
573,102,222
573,104,238
575,102,221
576,101,214
577,101,214
578,103,229
580,102,222
601,102,222
601,106,247
602,102,222
603,101,214
604,102,222
604,102,222
613,103,229
616,102,222
621,101,214
622,101,214
542,100,202
542,102,222
557,101,214
558,102,222
559,104,230
560,100,201
561,101,214
562,101,214
563,104,238
564,101,211
564,103,223
565,101,214
575,103,229
581,103,229
582,102,221
583,102,222
605,101,214
606,103,229
615,101,214
616,102,222
623,101,214
626,102,222
543,102,218
565,101,207
586,102,222
587,102,222
588,105,241
589,104,237
591,102,222
592,101,214
593,102,222
596,103,223
597,101,211
598,103,223
52,101,211
599,101,211
252,102,222
606,101,214
607,103,229
608,101,214
617,102,222
627,102,222
543,102,222
544,102,222
545,103,229
135,103,229
546,101,210
547,100,204
547,103,223
607,101,214
617,102,222
627,102,222
543,102,222
544,102,222
547,101,211
608,103,229
609,107,252
610,102,222
618,100,202
619,102,222
610,102,222
619,101,208
619,102,222
164,103,229
629,101,214
620,103,229
628,101,214
160,100,200
161,100,200
350,100,200
277,100,200
177,100,200
278,100,200
307,100,200
308,100,200
419,100,200
420,100,200
205,100,200
206,100,200
28,100,200
494,100,201
534,100,201
279,100,201
474,100,202
475,100,202
476,100,202
477,100,202
515,100,202
518,100,202
519,100,202
520,100,202
521,100,202
522,100,202
523,100,202
501,100,204
502,100,204
30,100,205
21,100,205
23,100,205
35,100,205
439,100,205
437,100,205
167,100,205
349,100,205
351,100,205
350,100,205
419,100,205
420,100,205
147,100,205
149,100,205
442,100,205
72,100,205
81,101,206
229,101,206
230,101,206
231,101,206
232,101,206
233,101,206
30,101,206
147,101,206
149,101,206
442,101,206
72,101,206
11,101,206
21,101,206
23,101,206
35,101,206
439,101,206
342,101,206
319,101,206
43,101,206
219,101,206
360,101,206
334,101,206
418,101,206
356,101,206
357,101,206
184,101,206
185,101,206
167,101,206
58,101,206
186,101,206
350,101,206
177,101,206
222,101,206
344,101,206
223,101,206
509,101,206
510,101,206
508,101,206
450,101,206
38,101,207
342,101,206
332,101,206
501,101,206
350,101,206
205,101,206
206,101,207
262,101,207
391,101,207
172,101,207
264,101,207
215,101,207
83,101,207
272,101,207
176,101,207
399,101,207
21,101,208
206,101,208
30,101,209
342,101,209
344,101,209
82,101,210
31,101,210
188,101,210
73,101,210
17,101,210
241,101,210
262,101,210
171,101,210
42,101,210
171,101,210
262,101,210
171,101,210
73,101,210
184,101,210
287,101,211
505,101,211
502,101,211
42,101,212
17,101,212
399,101,212
81,101,213
187,101,213
404,101,213
221,101,213
232,101,213
445,101,213
400,101,213
222,101,213
187,101,213
244,101,213
71,101,214
21,101,214
412,101,214
296,101,214
441,101,214
7,101,214
353,101,214
153,101,214
312,101,214
530,101,214
159,101,214
186,101,214
218,101,214
440,101,214
314,101,214
476,102,215
81,101,213
264,101,213
529,101,213
147,102,216
319,102,216
167,102,216
510,102,216
208,102,217
451,102,218
431,102,221
349,102,221
233,102,221
458,102,221
432,102,221
307,102,221
473,102,221
525,102,221
128,102,221
105,102,221
155,102,221
196,102,221
521,102,221
72,102,221
197,102,221
107,102,221
382,102,222
476,102,222
486,102,222
531,102,222
199,102,222
431,102,222
268,102,222
170,102,222
271,102,222
324,102,222
453,102,222
110,102,222
425,102,222
221,102,222
515,102,222
527,102,222
374,102,222
140,102,222
202,102,222
436,102,222
448,102,222
228,102,222
197,102,222
493,102,222
526,102,222
11,103,223
339,103,223
337,103,223
502,103,223
91,103,226
99,103,226
305,103,229
299,104,230
432,104,230
161,104,231
223,104,231
454,104,232
504,104,232
182,104,233
362,104,234
319,104,234
276,104,234
287,104,234
220,104,234
511,104,234
280,104,235
334,104,235
93,104,237
501,104,237
171,104,238
7,104,238
538,104,238
98,105,239
514,105,241
207,105,242
322,105,242
242,105,242
288,105,242
287,105,242
148,106,244
257,106,245
325,106,247
364,107,248
488,107,249
288,107,248
53,107,248
176,107,250
121,107,252
328,107,252
119,107,252
328,107,252
181,107,252
163,107,252
87,107,252
119,107,252
513,107,252
96,107,252
385,107,253
219,107,253
334,107,254
329,107,254
417,107,255
288,107,254
322,107,254
43,107,256
283,107,256
292,107,256
10,107,256
90,107,256
57,101,206
223,101,206
278,101,206
420,101,206
136,101,207
264,101,207
171,101,207
42,101,207
370,101,207
244,101,207
153,101,207
288,101,207
287,101,207
420,101,208
205,101,208
233,101,209
439,101,209
184,101,209
509,101,209
45,101,210
36,101,210
189,101,210
392,101,210
185,101,210
264,101,210
218,101,210
166,101,210
40,101,210
41,101,210
189,101,210
185,101,210
399,101,211
506,101,211
335,101,211
262,101,212
261,101,212
231,101,213
445,101,213
400,101,213
223,101,213
47,101,213
160,101,213
350,101,213
311,101,213
87,101,213
210,101,214
149,101,214
23,101,214
325,101,214
274,101,214
438,101,214
29,101,214
307,101,214
118,101,214
313,101,214
28,101,214
441,101,214
404,101,214
302,101,214
313,101,214
475,102,215
136,101,213
166,101,213
506,101,213
30,102,216
439,102,216
184,102,216
222,102,216
508,102,217
269,102,218
516,102,220
297,102,221
231,102,221
112,102,221
221,102,221
524,102,221
390,102,221
437,102,221
177,102,221
235,102,221
520,102,221
442,102,221
235,102,221
338,102,221
200,102,222
474,102,222
484,102,222
527,102,222
249,102,222
137,102,222
129,102,222
457,102,222
266,102,222
455,102,222
378,102,222
265,102,222
380,102,222
250,102,222
516,102,222
533,102,222
136,102,222
139,102,222
146,102,222
247,102,222
376,102,222
382,102,222
432,102,222
405,102,222
521,102,222
536,102,222
507,103,223
96,103,223
80,103,223
97,103,224
99,103,226
309,103,227
312,103,229
59,104,231
112,104,230
334,104,231
186,104,231
87,104,232
335,104,232
150,104,232
183,104,233
363,104,234
68,104,234
293,104,234
337,104,234
222,104,234
271,104,234
283,104,235
516,104,236
90,104,237
394,104,238
373,104,238
235,104,238
100,105,239
502,105,241
194,105,242
119,105,242
91,105,242
194,105,242
329,105,242
443,106,244
330,107,248
292,107,248
385,107,248
287,107,248
92,107,248
323,107,251
364,107,252
359,107,252
225,107,252
90,107,252
322,107,252
123,107,252
499,107,252
28,107,252
100,107,252
282,107,253
194,107,254
321,107,254
15,107,254
242,107,255
91,107,254
194,107,254
329,107,254
117,107,256
364,107,256
352,107,256
283,107,256
150,101,206
505,101,206
383,101,207
206,101,206
173,101,207
41,101,207
172,101,207
156,101,207
17,101,207
517,101,207
290,101,207
162,101,207
11,101,208
107,101,208
231,101,209
21,101,209
357,101,209
450,101,209
122,101,210
45,101,210
84,101,210
384,101,210
350,101,210
166,101,210
36,101,210
122,101,210
218,101,210
48,101,210
156,101,210
116,101,210
150,101,211
288,101,211
102,101,211
136,101,212
171,101,212
370,101,212
427,101,213
211,101,213
196,101,213
409,101,213
427,101,213
162,101,213
