id,name,playlist_name,spotify_id,spotify_songid
3844,Monogamy,NULL,1257265982,5UgXJFukDVdrT7IaqpI7GV
3845,Where We Should Be,NULL,1257265982,2gFqOO4hHaaVCikswq0Z0T
3846,Even Though (feat. XXYYXX),NULL,1257265982,4uXzXJZ6p3RC4YEuqOFgnU
3847,Molasses,NULL,1257265982,7lhkOb0VNnTlshwifCEoSr
3848,Don't Move,NULL,1257265982,0Y8idp050aiAHlvdjXrKHx
3849,The Recipe,NULL,1257265982,4i0ioe6BC6qvV6FOm6nf7K
3850,Auditorium w/ the Ruler,NULL,1257265982,1d2zY8D4j15lP29egY8pOq
3851,Rescue Song - RAC Remix,NULL,1257265982,4U4FPOKbgrQLKacn9qLcpw
3852,On'n'On - Video Village Remix,NULL,1257265982,1MH3TFOem0aZXLDD8W4lGx
3853,Blue Jeans - RAC Mix,NULL,1257265982,7JVNRVPeXFAOdMrxOHNjVv
3854,"Function - feat. YG, IAmSu & Problem",NULL,1257265982,5PR09nMAHAOOklMQMJchch
3855,Only You Can Show Me,NULL,1257265982,2KdHQmAantkFtPYVUarnV6
3856,Pyramids,NULL,1257265982,4QhWbupniDd44EDtnh2bFJ
3857,All Gold Everything,NULL,1257265982,3HNeVfTdtMy3l8qEe1MYNn
3858,Good As New,NULL,1257265982,5UX5ZrgY4vXnRjAhcdVQUC
3859,Ladies In The Back (feat. Teki Latex),NULL,1257265982,1PSeEbXHW6iU66RqRiahpV
3860,Hol' Up,NULL,1257265982,5DO1SazQppcsKQ1c1JpyQz
3861,Berlin feat. Miss Platnum,NULL,1257265982,6bg192znsrhhc5d5pIbk0g
3862,All Falls Down,NULL,1257265982,2cYZpcIV39X48RnOFM7w2V
3863,The Mother We Share,NULL,1257265982,77hY8WQ9bgSXaAH5jmgzHN
3864,Believe Me,NULL,1257265982,6t2eIONH4Sax3R21QWiKNp
3865,Memories That You Call (feat. Monsoonsiren) - Henry Krinkle Remix,NULL,1257265982,1uF5RnyVVCw1WJgQuUILZ8
3866,How Did I Get Here,NULL,1257265982,5MioM7cyUToVQN7zcIMVxi
3867,Sonnentanz (Sun Don’t Shine),NULL,1257265982,725i8zwOYKLGZJEQPgI0mD
3868,HyperParadise - Flume Remix,NULL,1257265982,4WbNyQy4wVdfopMrApBWQA
3869,Fire N' Rain (Kaytranada Edition),NULL,1257265982,0loD8DoblXHMBWnEXonbNw
3870,Turquoise,NULL,1257265982,1OPuqJasJsaLrtIgIgQIrj
3871,Hot Hands,NULL,1257265982,1bB1hIsRLN4XkcBEug8k7z
3872,Low,NULL,1257265982,24ATSFqwDM8Ajg4tIu4I3e
3873,Believe Me,NULL,1257265982,6t2eIONH4Sax3R21QWiKNp
3874,Still Fly,NULL,1257265982,563vSy3HB5NHxel1VGQCW6
3875,Buy U a Drank (Shawty Snappin'),NULL,1257265982,2aIdVb8v9KTpEZnftkz2mD
3876,Birthday Sex,NULL,1257265982,4NpDZPwSXmL0cCTaJuVrCw
3877,Sanctified,NULL,1257265982,39RWgrQOBCLQH88wy0TBm9
3878,Heavenly Father,NULL,1257265982,0qLt7pQhm8LDxFgI0YXdlY
3879,C.R.E.A.M.,NULL,1257265982,119c93MHjrDLJTApCVGpvx
3880,The Joy,NULL,1257265982,7huc9zi62N3uBYkJOmAhTf
3881,The Devil Is A Lie,NULL,1257265982,3tyMU1dWR7s7IC4tnNG1R5
3882,Man Of The Year,NULL,1257265982,4lrjnCVD8cnV3FEEblovxB
3883,Never Scared - Club Mix,NULL,1257265982,4kmIO0yPq92dXtKCL28RfC
3884,Kryptonite - feat. Big Boi,NULL,1257265982,4i2HYTGM7yHty0qVhD3lqD
3885,Stay Fly - Explicit Album Version,NULL,1257265982,5FGs2enRe23RODlTmGYbX6
3886,BKNY,NULL,1257265982,67yGmgfoLNpT1J0AaDpdV2
3887,F*ckwithmeyouknowigotit,NULL,1257265982,3PBC860LAeS4utDAqlqIe2
3888,Shabba,NULL,1257265982,6rMBHjn2ebKoTy0A4Czt7W
3889,Ms. Fat Booty,NULL,1257265982,0IVAlb0cFCH1cQ974iR1TU
3890,Grown Up,NULL,1257265982,5ic68M3jaJTEUcEIh5PcqX
3891,Molasses,NULL,1257265982,7lhkOb0VNnTlshwifCEoSr
3892,The Recipe,NULL,1257265982,4i0ioe6BC6qvV6FOm6nf7K
3893,Worst Behavior,NULL,1257265982,6oF3Es1YzzmLKjGBfThUvD
3894,Auditorium w/ the Ruler,NULL,1257265982,1d2zY8D4j15lP29egY8pOq
3895,Nike Boots,NULL,1257265982,5ksgxlBlgyZ24vNLGU2SQE
3896,Get Like Me,NULL,1257265982,2IBF9lQ9lgVai8LkskI5L7
3897,"Function - feat. YG, IAmSu & Problem",NULL,1257265982,5PR09nMAHAOOklMQMJchch
3898,The Next Episode,NULL,1257265982,4LwU4Vp6od3Sb08CsP99GC
3899,It So Eazy,NULL,1257265982,3QMO3RXiKOxrm9KIO23ksq
3900,She (feat. Frank Ocean),NULL,1257265982,70YJOdITxlbybXXtSPa2l1
3901,Int'l Players Anthem (I Choose You) - Main Version - Clean,NULL,1257265982,0WANZVN6yCkSn1TZ1kDglP
3902,I Wish,NULL,1257265982,0E2EPL6XnSe3gqjfLuJECb
3903,All Gold Everything,NULL,1257265982,3HNeVfTdtMy3l8qEe1MYNn
3904,F**kin' Problems,NULL,1257265982,3uICknMlqyrAKv1h0PzdCt
3905,The Spiteful Chant,NULL,1257265982,12bCgkFnyyTI8B1OmmRhbx
3906,Hol' Up,NULL,1257265982,5DO1SazQppcsKQ1c1JpyQz
3907,m.A.A.d city,NULL,1257265982,7FQQBmyJuIHLkkyw6J3vJD
3908,A.D.H.D,NULL,1257265982,2MYl0er3UZ1RlKwRb5LODh
3909,Money Trees,NULL,1257265982,2zz8599zFWbCxlapmnWeAQ
3910,Backseat Freestyle,NULL,1257265982,4j6eSWVi9o1zeol0DO4xxQ
3911,UP!,NULL,1257265982,48zmVAYyyhoWfTDe5pGynC
3912,21 Questions,NULL,1257265982,41bIQPBE1lFN0mmw6Lmssz
3913,Hate It Or Love It,NULL,1257265982,2wGSgTmgSF3xjRrHkTc25R
3914,Purple Swag,NULL,1257265982,51cqtusY2TwC6mbN8Vz8iA
3915,Peso,NULL,1257265982,5sl2735QKaOmL8UL4Q39Ut
3916,Goldie,NULL,1257265982,3VpdIi5XK2m8AaCXSVW320
3917,Devil In A New Dress,NULL,1257265982,1UGD3lW3tDmgZfAVDh6w7r
3918,Champion,NULL,1257265982,7hNx9Dynz2fRO41L9AEVA8
3919,Otis,NULL,1257265982,6aGNg25mRJdqd318f9X6Wn
3920,Homecoming,NULL,1257265982,2iaCM7WvOknQI1230hA9eK
3921,All Falls Down,NULL,1257265982,2cYZpcIV39X48RnOFM7w2V
3922,Can't Tell Me Nothing,NULL,1257265982,4ImL3v98u2BLkwnyQDjfRm
3923,Birthday Song,NULL,1257265982,5qkWTBmDmZjogwIvbKtJQv
3924,Gold Digger,NULL,1257265982,1PS1QMdUqOal0ai3Gt7sDQ
3925,POWER,NULL,1257265982,2gZUPNdnz5Y45eiGxpHGSc
3926,Drop It Like It's Hot,NULL,1257265982,2NBQmPrOEEjA8VbeWOQGxO
3927,Headlines,NULL,1257265982,7kfTqGMzIHFWeBeOJALzRf
3928,The Motto,NULL,1257265982,49ySwzAyvxcNXOkOP6ZB1L
