song_id,spotify_id
601,79t4AzJZDEwoqNYdUoxBPC
605,44CZRkOxv7UItaAUmh8PgN
606,68FYHHZVhTNEatQ0Q8OQWD
606,3ZN2kKt9wJ7gstnGeeuKGs
607,56fpILiIf6gm5R9DoGsM8U
607,56fpILiIf6gm5R9DoGsM8U
608,0UPsdEgJx6ypkfFUxD3ZHh
611,5NjNYbL0eI1khtqmRRMd5W
602,2aIdVb8v9KTpEZnftkz2mD
602,1Q1jlFs004vwB0DOznii3K
602,3guTXJKmMURN76FdZLZz29
602,3UL5Xalg2IerNtbasouPq3
602,64VSAE1Q5xdkweKwkGXxgW
606,68FYHHZVhTNEatQ0Q8OQWD
606,3ZN2kKt9wJ7gstnGeeuKGs
273,479SYImrF6Ch3OmLI42VQx
273,0ssgRdOcmC8rojsfAvdvFN
273,311MV4vSdwZk15ZcFER6US
273,270GGHoucFJhFF3zY2MKqk
274,1i8S8b09hPcQEpi3U5cuwy
274,62A5E7nuLRUpcEhWMIJPoq
274,6OjJwvh9fBi0sqADwpbugw
277,5d3qZ4xZv0inQK292Mmnhh
277,4M0h7E95t1AdtfZN1zoYUe
277,0dDoYANdWiqGT685IYHGtV
277,3nPuXX959TCNQdfWC72kV1
277,37JCOoX4v2dvVeTTXh2o5A
277,4Niz3axU83aImYtLmpJ6Nt
277,3iZHYc9vDsYCDIapW3Mabs
278,3zBgPi9s8iroxNQ5rNYeQR
278,0i7PF890Oxa7oTZWjBoxvD
278,3KTlNSFYfz7w5bzlydoNHR
1,0pgeVJrdNok4KhbiM58ayZ
1,43WRMgpCVSFmv9wftWcZP4
1,0b8qcIPuFq77U6ifMUAVUP
1,5LIND2nughPnfO4Y3scqIh
1,36JBXfCQL4Xi6fhFJK8W84
4,4sCYKMatyhazyy6r2N7Hp2
5,6H7lESo7hzq702axQ0wCmV
5,6MSmxUTbIGOqXKl5XDW6Uj
7,0t2QiRkpag0fAgs9zuCPlH
8,42xDAj5qNVFcxciJP3hSJd
8,28JaZEY7P57q9EY9P3hQRa
8,4ZDDB5746zxAeYpS2vJK8v
8,4Dc9Nmd8DsaI0kJGmiRyE7
8,1XxTcFSRjMqwHHNPL64yvh
10,2mkv1b3dRFyiJ4Ybq31owf
10,57gf8TTzlk1BE5R4C7gfz6
10,3e0UUpSHfoW3Xx0AdPl8i8
11,0PHwCbA310LLIMcSDpQbgF
11,3uQi9psq8OzV1EFCxxosgZ
12,0fRsAGSCbEjdSYM1U3NYx2
12,3Y9OtlOEQeGQV1K27Ie78z
13,7pRcWov3NHxi0GDkKdbSb0
13,464V1P4EY1xgbJn3bu1TOu
14,3iDK8BAaBUatPR84gdfa9g
14,36Ae28qcIcoV3940YBBSxX
14,7bqVZBRrNxmrF1iFQLYX2X
14,4KQ7VqFYeeMJyBZVnpEMdN
14,1UGV8pUOgnKafhnbPMuMYz
14,6uxmDFrrhER0tjkRFjRdtw
14,6sKbKqxxrsJvhQBO00FXFB
14,1FTF17aDNrjqbPvv9Hx3ig
15,07ahbydCmD0CLoN2zIx8bR
16,2OFrAsP5Vrcb0DtsPNsm54
16,6ZbHszrfjkWwz7NubJrrc3
16,7AJN4FQryXUWcOjnR9V9Lb
17,0lanitPKPVzDigvz4KFe5F
17,36nTD6zQ5mHJNCl2cD86dI
17,1kU6CHxvOFoMLPzRwzVLUl
17,3aDpwWj57d6X2ZzrTBO0OW
18,0agehDrq7ZHos1Di3Gv4Co
18,3mmvWlKI6gPJhwrUoZteAv
18,4mgHQMrT77t5B14dnIiKBz
18,3IDTGizsuvxSGUaMS9GKlo
18,2J1W5AihjYK2DYjCu4wQao
18,6HKErczdKcOEsrDj4729JE
19,1s2cLSB0A5Gf4uYcLmajHL
21,6QL8FAYTbw1IFGRQb6SWud
21,5jRDHEemZKcEWSfZDjmAjq
21,4d7DplMK96uZEstNV7dgN5
21,1gODOwIogXz5a5ae7I2Enp
22,5BVPZwFDZtaIQNxVncxIwB
22,2xMQNSpAUeQWili4d9ehEb
22,4UhObmgPx3EDxbdCjbdLrt
23,0IjVJk7EZK5V71LUwk6OjC
23,1rGQjCIk9cpzLsrtjZO3OG
23,1rdfddPgQ1tdGifjjUas67
25,4THgRPmLvhNmM9Lzj8qrvH
25,3hdtMEnKDKJCB8DDnDdDBE
25,4D7me4sv7mtO1pClouHS3U
28,4V89IXbcngfalUVUm21GNM
29,5BF0Di2gIXV5wdlnobIKLF
29,71Dd6BJCQjxFyCbtt5DP2a
29,0BLWBITvJMp4Nv3ezqIcd1
29,2jDotBEJeHnoyrbBRVR6Bw
29,48SXzqSc2oVzWFOH9YOrHc
29,6L4ujv8j95xbnJ9MTKbkvj
30,12TyU7JblI0e8WhMTck8bF
30,4Njmtp4w81B2DNyMMwjc4k
30,2LH8eZOTAp4spvNCuLvZ8V
30,4fUAxTnK9nc4UYJNQbsimy
30,3CPEHHI4FNetNwk5OG7Itr
30,4S1UYhmET5BhBTpFo43KVd
30,4iB8tsFTPqOAnrCBsz3Baa
30,5oWHRXKO10k0MNMR4YCA7W
30,1fqrSCC1jBVOqDs8hVSkWU
30,2mLDp2yqeDU9HekdPVaNSY
30,47OefFD1VqsREbJP4eQDEr
30,5IBdFZzoSHqu6iGq3V4U7o
33,4GtN7yHlsvQanJfp2Qzw1A
34,3TY7K2W7mCw7LjnGDqFSkQ
34,61LL20jMTJixZtNZrBnlLR
34,6QFYjGKpeilCZvnAUoVJq4
34,4H0onYOl214xA49n5PVPn5
34,3mej4NGvQUI41BRYtPC1wT
34,6Rg3eGQ7y98fTMzdttjVtH
34,1KRL4FyAvsS1vtZVsUHFPN
34,0xWRVo2hsF5Srh52lIeuZf
34,5h1p69eEhZxoLORPqdVLTU
34,6S2cRGJJlm5stu5aQFcoSI
34,1QEvoRuoBscIfr3b3Yn0LI
34,7ehJeSWDMJimaOhh1ecAYY
35,535mcFQXTugp36uiSaTVNk
35,64PaL2zhiNF1gx8xNmeyP2
35,04Z1hAnLPmUHTKMFLFoXZe
36,0VffaI2jwQknRrxpECYHsF
37,7vseIfb8ooQmXzisuinchZ
37,3aQz0z86zrKjd1mcZlonxE
37,6hTcRuSaaTNwlyIYkkMpWX
37,5Na6PeGZLKLyGbRSE1V8gM
37,2lrkt52tzwD4wmGsHTCIKB
37,7l3MaXwZ2QHjJuJ65EEmFd
37,2uciGtl7TMTid7UEdLycbn
37,5BpBssHKb7sTc6kbpOt6te
37,4sbMTbZcKRaN5a6SPJbgXd
37,1sSQeFrsjfO4SAyqSEqY1o
37,29pORGD54Z8rifI1tdvEvr
37,4aDSkHGnO20ypjVogkW2d4
37,6pZDfQqjX8nv6VfTtxC0w5
37,4FeZW9Qo0JV9fDC6ZxREMJ
37,2jLo11A2NyIChRGrIPubVr
37,7bcc3xemP8xaXtIdXSoaTq
37,3TrvASDj0NezwaQcR34Spj
37,67zTkTFtzTgNkkBIZrrAaG
37,41rvsCKAfYRJXpNO0LIVOu
37,3Nk99p3bvj7PpcJr56X2SI
38,2PkYMUUjACVGLsDVjMfUgY
38,0rH3rT8dDmckT7MIEp0F62
38,1G9p6mKSPJeYwcxZzsdJ30
38,0TNeJWS27u6zKUFJ4HBHGH
38,3D6l0zse3gEhCISxxmDozF
38,7fSaJdw12BinoJL8pl2FbO
38,6CYmEmEfJ2cqVaNRNu5ADX
38,2K3nuZRkEDrbq18Gs1HlpU
38,0OxclYxcaS5HsgOzWaBvbk
38,21VCpbtVyPOIZhzo8rvH22
38,78JwXHjzc7kSRrr4M8uodQ
38,30Zjjiy4qxZvoiwuJ5RO6J
38,0txWdjh4LngmqqLC66QpBF
38,3CGLCWARNoGUkNkRRtCHN7
38,119cOvmZcpRhAWQbBYmvyx
38,3vRG5fy9pdDJKIbEacyJPf
38,0Ped3GD8ND2WeU1ah6vIxj
38,1spaTyRiGDOM8UYuMz8L3w
38,0Ai95YPUbkY8fRGhMxIEpj
38,55l9pBhZYvhqPbgLtDu4hO
39,0OGkg1K6JEmljfa4XkSnkn
39,7osMxLLLThrTrWVXB1QMCA
41,6JEntXLt4z98CcDtIH9sU7
41,0g5S3hPuTNFWRq2CbpXy9F
41,7qf3VKqcN2retPfpdMGHNu
41,1xMLthTaWJieT9YGV1hyS5
41,7e3uhRh9KFBrzrjtKSoJ0K
41,5AGTIWWLasdnpe5yvriQNA
42,6YUTL4dYpB9xZO5qExPf05
42,6zonhXHUitdQqZTqylx7Jf
42,1X4l0BRQfy7K3VkUATgwro
42,1xweD94ZrIv1pu6TPJCES9
42,5GZkcJ13qHDkcmcW5PzUiy
42,5GtQkJTQ01zxZ9xRuIBRyY
42,46PDjvGf8F0sHz6lDP4m6i
42,07Xx3OZSGflK310rMs5Bu9
43,6PUIzlqotEmPuBfjbwYWOB
43,7G5GELyfqBS74W2P6SFE6K
44,2Nf0RbvVIKcL0SbEziqArb
44,60wwxj6Dd9NJlirf84wr2c
44,2QtJA4gbwe1AcanB2p21aP
44,1dFkD1JfRMzwO6hwUsE8aS
44,3Gwq0zKnMWluOEPKh93BeC
44,00ZRyybLZ2o4fdqZe8GETe
44,2VtX9viww814jnWFERUhAS
44,5JEyMbmqdPeD7FlyLv3fGp
44,6xzCQrXrn0uOOKBQZK1zsF
44,1h7LBCgfnSUEe7qXRbwMIp
44,1vwvwT2NxGIc4O3pDQ0tUN
44,6NwrXtcFbc8OX7wJyBqE89
