id,vid,name,artist,genre,tags,created_at,updated_at,staff,likes,director,spotify_id,spotify_pop,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id
249,nAQVGx1vzrk,Fuckin' Problems,A$AP Rocky,", hip hop, cloud rap,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,86vDxRr2ELA,Teenage Crimes,Adrian Lux,", techno, house,",,12/25/15 0:00,,0,0,,1E2tRwT1GIHk1a8oYQMfjC,0,0,0,0,0,0,0,0,0,0,0,0,5
51,ksocjhxX_DQ,No Beef,AfroJack and Steve Aoki,", electro house,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6
233,cmXZuv5BaHg,You Know You Like It,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,,57kR5SniQIbsbVoIjjOUDa,0,0,0,0,0,0,0,0,0,0,0,0,8
215,KxJdMhfn9g4,I Met You,Anna Lunoe ,", dance,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,12
283,NuSbELCNloc,Sprawl II (Mountains Beyond Mountains),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,,2GO8ZpAPxr1obsQ9PqSQc5,0,0,0,0,0,0,0,0,0,0,0,0,13
327,ToNBGOoE3S4,The Suburbs (Mr. Little Jeans Remix),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,13
328,hv1514WChRw,Sprawl II (Soulwax Remix),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,13
141,iXZxipry6kE,Shabba,ASAP Ferg,", hip hop,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,17
212,r6I2Ek_j_Xc,Wassup,ASAP Rocky,", hip hop,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,18
434,KuZ2QZKYj7c,Purple Swag,ASAP Rocky,", hip hop,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,18
248,2reEeG2Ho_g,G.O.O.D. Morning,2 Chainz,", hip hop,",,12/25/15 0:00,,0,0,,51oVwsllGkGySCLW6inIXE,0,0.585,0.573,7,-7.072,1,0.42,0.0397,0,0.319,0.228,78.914,3
101,rVeMiVU77wo,Breezeblocks,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,,3n69hLUdIsSa1WlRmjMZlW,0,0.656,0.616,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.283,150.071,7
232,iDAScB0kacU,Just A Touch,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,,6DKkFKlKS8lIOFvVacOfhc,0,0.595,0.816,1,-4.733,1,0.0378,0.0352,7.55E-05,0.0805,0.695,95.015,8
10,dCCXq9QB-dQ,Hunger of the Pine,Alt-J,", indie rock, indie pop, art rock, folktronica,",arrows/forest/running,12/25/15 0:00,,0,0,,2mkv1b3dRFyiJ4Ybq31owf,0,0.174,0.749,8,-20.893,1,0.949,0.0344,0,0.114,0.757,75.948,7
145,5v6JUzxWoGw,Multiply,A$AP Rocky,", hip hop, cloud rap,",,12/25/15 0:00,,0,0,,21tQ61tNj6qbXbDwmSIPt9,0,0.783,0.904,0,-4.475,1,0.145,0.079,0,0.149,0.18,114.952,2
386,zol2MJf6XNE,My Girls,Animal Collective,", experimental pop, psychadelic pop, freak folk, electronic, noise pop, neo-psychedelia,",,12/25/15 0:00,,0,0,,1kn0qoZsAYz2IEOSmWGrvX,0,0.953,0.508,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.559,119.973,11
