id,mood,song_id,mood_id,type
262,Acoustic,334,6,mood
263,Sad,335,4,mood
264,Sad,336,4,mood
265,Happy,337,3,mood
266,Party,338,5,mood
267,Sad,339,4,mood
268,Acoustic,339,6,mood
269,Dance,340,2,mood
270,Dance,341,2,mood
271,Happy,341,3,mood
272,Chill,344,1,mood
273,Acoustic,344,6,mood
274,Sad,345,4,mood
275,Dance,346,2,mood
276,Happy,346,3,mood
277,Party,347,5,mood
278,Acoustic,349,6,mood
279,Sad,350,4,mood
280,Happy,351,3,mood
281,Sad,352,4,mood
282,Happy,353,3,mood
283,Sad,354,4,mood
284,Acoustic,355,6,mood
285,Party,358,5,mood
286,Sad,360,4,mood
287,Happy,361,3,mood
288,Happy,362,3,mood
289,Party,362,5,mood
290,Dance,366,2,mood
291,Happy,366,3,mood
292,Party,367,5,mood
293,Sad,368,4,mood
294,Happy,369,3,mood
295,Party,369,5,mood
296,Sad,371,4,mood
297,Happy,373,3,mood
298,Dance,374,2,mood
299,Party,374,5,mood
300,Sad,375,4,mood
301,Sad,376,4,mood
302,Party,377,5,mood
303,Instrumental,377,7,mood
304,Happy,378,3,mood
305,Happy,379,3,mood
306,Dance,380,2,mood
307,Sad,384,4,mood
308,Chill,387,1,mood
309,Dance,387,2,mood
310,Happy,387,3,mood
311,Dance,388,2,mood
312,Sad,394,4,mood
313,Sad,396,4,mood
314,Dance,398,2,mood
315,Happy,398,3,mood
316,Happy,399,3,mood
317,Sad,401,4,mood
318,Dance,404,2,mood
319,Happy,404,3,mood
320,Party,405,5,mood
321,Sad,407,4,mood
322,Sad,408,4,mood
323,Sad,409,4,mood
324,Sad,410,4,mood
325,Chill,413,1,mood
326,Sad,413,4,mood
327,Sad,414,4,mood
328,Sad,416,4,mood
329,Acoustic,416,6,mood
330,Party,419,5,mood
331,Instrumental,419,7,mood
332,Instrumental,420,7,mood
333,Sad,421,4,mood
334,Sad,424,4,mood
335,Chill,425,1,mood
336,Instrumental,425,7,mood
337,Sad,426,4,mood
338,Party,427,5,mood
339,Sad,428,4,mood
340,Sad,431,4,mood
341,Dance,433,2,mood
342,Sad,434,4,mood
343,Dance,435,2,mood
344,Party,435,5,mood
345,Instrumental,435,7,mood
346,Sad,436,4,mood
347,Sad,437,4,mood
348,Instrumental,438,7,mood
349,Sad,439,4,mood
350,Instrumental,440,7,mood
351,Party,441,5,mood
352,Sad,442,4,mood
353,Dance,443,2,mood
354,Happy,443,3,mood
355,Dance,445,2,mood
356,Sad,446,4,mood
357,Acoustic,446,6,mood
358,Instrumental,446,7,mood
359,Sad,447,4,mood
360,Instrumental,448,7,mood
361,Chill,449,1,mood
362,Acoustic,449,6,mood
363,Instrumental,449,7,mood
364,Sad,450,4,mood
365,Acoustic,450,6,mood
366,Dance,451,2,mood
367,Sad,452,4,mood
368,Sad,453,4,mood
369,Sad,455,4,mood
370,Sad,457,4,mood
371,Sad,458,4,mood
372,Dance,459,2,mood
373,Happy,459,3,mood
374,Party,459,5,mood
375,Party,460,5,mood
376,Chill,461,1,mood
377,Happy,475,3,mood
378,Dance,477,2,mood
379,Happy,477,3,mood
380,Party,477,5,mood
381,Sad,478,4,mood
382,Sad,479,4,mood
383,Sad,480,4,mood
384,Sad,481,4,mood
385,Sad,482,4,mood
386,Sad,483,4,mood
387,Sad,487,4,mood
388,Sad,488,4,mood
389,Sad,489,4,mood
390,Sad,490,4,mood
391,Dance,492,2,mood
392,Dance,493,2,mood
393,Dance,496,2,mood
394,Party,496,5,mood
395,Dance,497,2,mood
396,Dance,498,2,mood
397,Sad,508,4,mood
398,Dance,509,2,mood
399,Sad,509,4,mood
400,Acoustic,509,6,mood
401,crunk,1,96,genre
