electronic,,,1,2,2,3
"hardcore hip hop, dance-pop, indie pop, dance","hardcore hip hop, dance-pop, indie pop, dance,","hardcore hip hop,","hardcore hip hop, dance-pop,"," dance-pop,","hardcore hip hop, dance-pop,"," dance-pop,"
"hip hop, pop, rock","hip hop, pop, rock,","hip hop,","hip hop, pop,"," pop,","hip hop, pop,"," pop,"
"alternative dance, electronica,synthpop, indietronica, house","alternative dance, electronica,synthpop, indietronica, house,","alternative dance,","alternative dance, electronica,"," electronica,","alternative dance, electronica,"," electronica,"
"Indie rock, southern rock, alternative country, folk","Indie rock, southern rock, alternative country, folk,","Indie rock,","Indie rock, southern rock,"," southern rock,","Indie rock, southern rock,"," southern rock,"
"Indie rock, southern rock, alternative country, folk","Indie rock, southern rock, alternative country, folk,","Indie rock,","Indie rock, southern rock,"," southern rock,","Indie rock, southern rock,"," southern rock,"
"house, electric, UK garage, big beat","house, electric, UK garage, big beat,","house,","house, electric,"," electric,","house, electric,"," electric,"
"dream pop, indie rock","dream pop, indie rock,","dream pop,","dream pop, indie rock,"," indie rock,","dream pop, indie rock,"," indie rock,"
"dream pop, indie rock","dream pop, indie rock,","dream pop,","dream pop, indie rock,"," indie rock,","dream pop, indie rock,"," indie rock,"
"folk rock, indie folk","folk rock, indie folk,","folk rock,","folk rock, indie folk,"," indie folk,","folk rock, indie folk,"," indie folk,"
"folk rock, indie folk","folk rock, indie folk,","folk rock,","folk rock, indie folk,"," indie folk,","folk rock, indie folk,"," indie folk,"
electronic,"electronic,","electronic,",,,,
"folk, rock","folk, rock,","folk,","folk, rock,"," rock,","folk, rock,"," rock,"
"EDM, electronic, progressive, techno, minimal techno","EDM, electronic, progressive, techno, minimal techno,","EDM,","EDM, electronic,"," electronic,","EDM, electronic,"," electronic,"
"R&B, pop, hip hop, soul","R&B, pop, hip hop, soul,","R&B,","R&B, pop,"," pop,","R&B, pop,"," pop,"
hip hop,"hip hop,","hip hop,",,,,
